name,mz,rt,adduct,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M353T323,353.084910070432,322.709,[M-H]-,2237.82533333333,3737.4995,3086.5404040404,3392.64
M356T167,356.103624395056,166.778,[M+CH3COO]-,167192.696542553,84183.5993125,69515.7731666666,97892.5272
M356T135,356.102849428541,134.861,[M+CH3COO]-,63485.7419473684,65657.2016111111,58689.6311666667,62123.5984827586
M356T560,356.120859903601,560.1675,[M+CH3COO]-,2776.74132,4366.03404255318,3158.37576923077,3084.06100000001
M359T701,359.119076600181,700.732,[2M-H]-,6546.18461538462,7368.7591818182,7633.90115384615,7546.08983333329
M361T782,360.969780971373,781.528,[M+Na-2H]-,6244.60695652174,8007.07920833331,8404.04874999999,8827.18956521735
M361T939,360.970017938832,938.6475,[M+Na-2H]-,5710.27275,10813.7507419355,11174.553,12225.7994482759
M367T436,367.136302785448,436.145,[2M-H]-,2217.5186,2174.01171428571,2263.7345625,1974.931
M369T852,369.01073773881,852.368,[2M-H]-,5407.43958333333,9840.2265,11551.02588,13187.1845416666
M369T812,369.021533450062,812.246,[M+Na-2H]-,9461.91333333333,12906.7503214286,13783.6090588235,13582.8442727273
M375T362,375.130711948375,362.049,[M-H]-,17231.1342,14781.2811034483,17087.7501538462,16351.5515483871
M377T301,377.078084692752,301.11,[2M-H]-,1272.571,6899.75115789473,6803.00535999999,6865.04127272728
M384T801,384.026800227147,801.126,[M+Na-2H]-,3070.0925,2653.73045000001,3470.635,3123.67030434783
M386T911,386.016029053073,911.076,[M-H]-,21994.70309375,52870.3553154363,58267.8200071942,59464.5405960265
M393T847,393.07069116895,847.069,[M+CH3COO]-,3425.30400000001,4457.47121428572,4549.02872727274,6246.93903225806
M401T651,401.130020186563,651.23,[M+CH3COO]-,61491.3467894736,67292.2410952382,65947.3933500001,78545.8357894736
M402T929,402.01064130716,928.534,[M-H]-,46839.9154736842,65004.6075,126633.932042373,132707.448175182
M402T892,402.010130738115,891.9525,[M-H]-,22747.1476666667,33050.0314736842,42043.8970285714,42325.2766
M403T876,402.995128273802,875.8365,[M-H]-,30182.923642857,37122.3359999999,41409.2851851852,41165.2724117649
M403T918,403.087210199656,917.806,[M+CH3COO]-,2273.83845833334,3736.35,4486.14133333332,3182.09807999999
M407T375,407.279669925062,375.4215,[M-H]-,6616.46120000001,6970.32251999999,6837.52279166665,6713.22503703704
M409T363,409.067744531722,363.297,[2M-H]-,48699.7860000001,30841.9780740741,31658.546,33978.632
M419T741,419.088301829016,741.124,[M+K-2H]-,12687.9991304348,13007.0767272728,13260.1398695652,13385.4738333334
M426T652,426.012942968248,651.7365,[M-H]-,10216.7358888889,12286.84005,11543.0952,13986.0918
M426T907,426.022061945539,907.044,[M-H]-,56766.0418582677,84995.7190909091,95994.8244000001,99285.7375221239
M435T362,435.151637852759,362.002,[M+CH3COO]-,4357.503,3335.73172413793,3705.19205405406,3439.72527272727
M440T780,440.13229784636,780.319,[M-H]-,35515.0242857143,35065.3,35932.041,35174.5080476189
