name,mz,rt,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M550T591,550.123270778813,590.8485,3813.45222222221,4679.487875,4691.13696774194,5120.6718181818
M550T634,550.141288884324,634.293,2057.1430909091,2034.76899999999,2094.05509090911,2205.3471
M550T40,550.283311568678,40.2865,3867.864,9402.73733333333,6582.6228,4508.36715789474
M551T780_1,550.943488416481,780.4525,841.232000000001,2009.55266666667,2283.77175,2000.663
M551T1154,550.9617270075,1153.69,2800.321875,2213.33787234038,975.869999999985,2030.88864864863
M551T780_2,551.015392796033,779.722,1188.75364705883,1354.63623529411,1502.99377777778,1642.8427826087
M551T609,551.032563305019,609.448,3131.34508333335,4642.39623076923,5791.99592307694,5636.91294117647
M551T313,551.098664298152,312.95,1124.38056818182,1705.61858333333,1685.00728888889,1642.30388059701
M551T419,551.115587595061,419.4685,5987.16040000001,5050.16666666666,5688.168,5763.99677777778
M552T281,552.015216700296,280.674,2301.885,1519.23524561404,1408.00841666667,1466.33364705882
M552T610,552.03556669565,610.352,804.404879999998,999.539773584905,1076.54399999999,978.791785714286
M552T825,552.109148568275,824.961,653.52533333333,914.824999999997,1047.92204,983.704615384616
M552T420,552.11934084891,419.611,1699.86985714285,1346.78571428571,1620.80886486486,1545.15428571429
M552T74,552.354381157619,73.6445,2529.369,2620.35713333333,2585.53,2128.06493457944
M553T781,552.952367933722,780.792,1131.3636,1314.68066666666,1398.99968421053,1604.44377272727
M553T883,553.092850386176,883.398,2512.03876190476,3753.86031818181,3871.30936363636,3048.39500000002
M553T369,553.168092347931,368.706,992.453000000001,609.900000000002,810.549999999999,642.312307692308
M554T883,554.095806669169,883.026,731.3925,848.619692307695,979.357764705883,622.820000000004
M554T136,554.168079572502,135.6825,3325.47724137931,3684.45976,2642.23428571428,2269.1895
M554T437,554.190059874887,436.8075,500.76,560.68,803.333333333332,828.934999999998
M554T299,554.346903985108,299.081,25097.1101538461,26898.2526666667,26893.3467142857,25941.3537241379
M554T324,554.347076758969,323.8565,12785.0891904762,10130.27385,10215.7158095238,8605.8885
M555T171,555.167143714773,171.068,1491.763,1646.1214,661.605176470589,965.741333333334
M555T437,555.186170845204,436.5775,1689.88691666666,2363.46007692308,2562.21928571429,3021.78006666667
M555T299,555.349840504621,299.081,8195.85599999999,8499.61851428573,8504.01964285713,7844.98257142857
M555T323,555.350854007526,323.3215,4085.82055555556,3081.85974999999,2506.1868125,2427.49486666667
M557T891,556.601286733482,890.734,8102.79247368421,8592.50544927536,9292.39807692308,6956.20961538463
M557T610,556.945279469845,610.3675,1115.862,1028.09816666667,1251.66784210526,1365.21622727272
M557T751,557.059952987756,750.5985,927.080000000004,1113.73961538461,1120.462125,1187.81974999999
M557T928,557.094093235943,927.6885,6749.84220000001,6523.05266666666,10884.7089473684,7458.38141176471
M557T588,557.106750232025,588.3005,2668.63221428572,2274.77434482759,2211.78875862069,1807.05647368421
M557T652,557.134667952981,651.7365,976.471363636366,992.589230769232,1228.63788235293,1308.86075
M557T299,557.325281578052,298.7775,2104.29375,1690.0792173913,1530.816,1898.060375
M558T927,557.596118465482,926.524,3525.92912307692,3975.08298113208,3626.56700000001,3580.52453703703
M558T763,558.0669166449,763.127,1659.18627906977,1256.283,1324.2060952381,1155.50181818182
M559T736,559.078093989056,736.0345,5757.28212121214,6567.35717241379,11225.9150769231,7102.72429629629
M560T438,560.292392645357,437.723,893.710999999999,1023.52281818182,1093.0443125,924.9741875
M561T609,560.975953239397,609.4425,615.767499999997,1122.30319999999,802.067999999996,829.831250000003
M561T134,561.013054355177,133.731,6041.85,2346.27352631579,2357.41594117647,1657.23075
M561T114,561.013571008766,114.282,3381.54177777778,2760.35363157895,2861.74922222222,2876.7995
M561T216,561.219277957055,216.483,4662.65085,3771.963,2789.733,3746.7012
